Name,Date,Review_Title,Review_Text,Location,Rating
Dawn Pickering,"January 05, 2023",I had problems with a non delivery of…,I had problems with a non delivery of an order. I got in touch with customer services who handled the problem quickly & efficiently. They kept in touch via email as to what happening. All correspondence was friendly & helpful & made me feel like they actually cared. They have resolved my issue completely. Well done the team at ASOS.,GB,Rated 5 out of 5 stars
Morgan Richards,"January 05, 2023",PaulynJane was so helpful,PaulynJane was so helpful. I purchased from asos regularly…like all the time. Everything is always perfect. This last order something small was wrong and they fixed it right away and were so nice. It’s reasons like this that I will continue to purchase from asos. Love it so much,US,Rated 5 out of 5 stars
RELB,"January 04, 2023",Customer Service,I have been waiting for my parcel since 20/12/22 but not been delivered! This is very frustrating and I have waited until 4/1/23 to see if it would be delivery by EVRI but surprise it has not. Spoke to Angela and she had great customer service it is just a shame I now have to wait a further 2 working days to get someone to investigate my order and then find out what will happen,GB,Rated 4 out of 5 stars
Tara,"January 05, 2023",Great service! I would highly recommend ASOS.,"Customer Service Agent Dan was very helpful and patient with me while I gathered all the required information. In addition, Dan fully answered my query and told me what to do if the next if the issue was not resolved by a certain date. Great service!",AU,Rated 5 out of 5 stars
Patrick Burke,"January 04, 2023",Both customer care staff I've spoken to…,"Both customer care staff I've spoken to about my missing order have been very helpful and understanding regarding my issues with EVRi not delivering my order, stating they have delivered my parcel with a black blank photo saying I've signed for the parcel only to then claim I was not in for my delivery, tracking itself hasn't changed status since the 30th Dec nor has there been any updates since. Hopefully this will be resolved but regardless it's happened now. So thank you to the customer care team for all their help.",GB,Rated 5 out of 5 stars
asma,"January 04, 2023",made me love asos even more<3,asked about my issue with the refund and while sorting it out she asked about my day and whised me a happy new year and that was a first to me. made my eyes tear up with joy she is the sweetes and the reason why i love asos even more is bcuz of her.i love you asos thank you for being kind<3,SA,Rated 5 out of 5 stars
Zoe Johnson,"January 04, 2023","Friendly, prompt & helpful","I contacted ASOS regarding a refund for a parcel I rejected due to no longer needing. I thought that would be easier than sending back but wanted to check that it was okay to have done that. Jerwhin replied super promptly and were very friendly and helpful, thanks so much :)",GB,Rated 5 out of 5 stars
James Leaver,"January 03, 2023","Great selection, needs better courier","Had a lot of really good products from here. Particularly like the excellent selection of clothes in larger men's sizes, something unmatched by any other large retailer. Always been able to return goods when needed with no hassle too. Only down point, and something which may mean I have to stop ordering from here, is that their courier Evri has started to lose about 50% of my orders",GB,Rated 4 out of 5 stars
Caoimhe Clancy,"January 03, 2023",The Best Customer Service,Great customer service there was a slight mix up on my return which was totally understandable as the two items that got mixed up were the same colour but they were so helpful and straight forward and I think the issue was solved in under 5 minutes and it wasn’t stressful whatsoever unlike other customer service providers out there,IE,Rated 5 out of 5 stars
Asiye,"January 02, 2023",I like the help of the person who…,"I like the help of the person who helped me online. Understands the situation and find a quick solution. But however, I find it very dissapointing that asos does not have a mail adres for customerservice. I think thats a must. People should be able to at least sent a mail to asos. Not everyone is able to use the chat service.",NL,Rated 5 out of 5 stars
Alice Pinto,"January 03, 2023",Great communication,"Kimberly was able to respond to all my questions with no problem, in a polite way and helpful, nothing was too much hassle. I left the chat relieved, knowing that my concerns were addressed and I was heard. Only downside with ordering with ASOS is the delivery company Evri losing or damaging the packages and not letting us know.",GB,Rated 5 out of 5 stars
Julie Choi,"January 05, 2023",The customer service was excellent with…,"The customer service was excellent with a young man called John, I had a product that was faulty and he assisted instantly with such ease. Thank you so much ASOS, they have amazing customer service!",GB,Rated 5 out of 5 stars
Sanne,"January 02, 2023",I had problems with my return and…,I had problems with my return and contacted Asos through their customer chat service. A person called Vergel helped me and solved the problem really fast. So thank you for the help Vergel! Although I think Asos should have an email adres to get in contact with them as well.,NL,Rated 5 out of 5 stars
Megan Harkin,"January 05, 2023",Great,At first I thought it was an automated machine replying to me as the responses were so fast and so generic but once you pass that stage it’s a fantastic service and very helpful.,IE,Rated 5 out of 5 stars
Ciara A,"January 04, 2023",Kyla was excellent,Kyla was excellent. Had been putting off seeking a refund for a lost parcel (courier’s fault) She made it such a quick and easy process. Really pleasant and patient. Full faith restored in Customer Care.,IE,Rated 5 out of 5 stars
Lona Mornar,"January 04, 2023",ASOS is the best shopping platform,"ASOS is the best shopping platform. Fast and reliable. If the problem occurs (rarely one does), it can be solved in minutes with virtual or online chat. Would recommend",HR,Rated 5 out of 5 stars
Eccles,"January 05, 2023",Everyone should be more like Leah,"Super helpful and very friendly. Actually read what I had put and was very clear in responses. Top employee, a credit to your company! Wish there was more Leah’s!",GB,Rated 5 out of 5 stars
Meryem,"January 02, 2023",Great service,Asos really does have an great customer service! Friendly staff and always willing to help. My issue has been handled very quick and easy. Thanks again and really a good customer service keeps customers coming back for sure!,NL,Rated 5 out of 5 stars
Alistair Jones-Owen,"January 03, 2023",Missing item,"Pauline was fast and efficient, very happy with her professionalism. Your automated text as the initial contact is awful, it doesn’t work, I was calm when I started the enquiry but furious by the time I spoke to Pauline.",GB,Rated 5 out of 5 stars
S,"January 03, 2023",Customer return query,Customer return query. Query was solved through an online chat. The two ASOS representatives were both  prompt and helpful with his/her responses with me today. Great customer service.,FI,Rated 5 out of 5 stars
Lexi,"January 04, 2023",Amazing customer service by Raevyn,"Amazing customer service by Raevyn, who took care of my issue in a friendly and fast manner. Could not be more satisfied, my problem was solved immediately!",CH,Rated 5 out of 5 stars
Kerry,"January 05, 2023",Jommel was patient and meticulous and…,Jommel was patient and meticulous and went through every order until I was satisfied all refunds had been issued. Could not have asked for more x,GB,Rated 5 out of 5 stars
Anoniem,"January 01, 2023",Great customer service,"I had three customer care experiences in the last weeks. It was really helpful and everyone was really nice. However I, myself, dont like to chat, but always call. So that is a little bit of a pity, but overall really happy with it.",NL,Rated 5 out of 5 stars
Raida Saljunovic,"January 01, 2023",Great and quick service,Great and quick service. Had bought a pair of black jeans that turned grey after one wash. Chatted with customer service that helped me with a return super quick with no fuss! Thank you for great support!,SE,Rated 5 out of 5 stars
Michael Raphael,"January 05, 2023",Asos get things wrong like any other…,"Asos get things wrong like any other company, but are amazing at rectifying issues immediately - nothing is ever too much for them!",GB,Rated 5 out of 5 stars
Robyn Kehoe Roche,"January 03, 2023",Janus from customer care on asos was…,Janus from customer care on asos was absolutely brilliant! Very quick and helpful and polite! I very much enjoyed my experience being helped by him and he is a lovely person!,IE,Rated 5 out of 5 stars
SHEMA Shadia,"January 02, 2023",Kendrick from custom care was so…,Kendrick from custom care was so helpful with the issue i had of a missing item in my order. very patient and understanding. i had a pleasant experience with the custom care. i would give them 5/5,RW,Rated 5 out of 5 stars
Steph,"January 05, 2023",Celine took the time to read the notes…,Celine took the time to read the notes from previous chats so I didn’t have to repeat myself and then responded very effectively,GB,Rated 5 out of 5 stars
Emili S Brijani,"January 03, 2023",Melwin,"Melwin, my contact with you, was really patient and really understood my problem tho my english is not the best. he had great customer service",SE,Rated 5 out of 5 stars
James,"January 03, 2023",Gerome was helpful as my return was not…,Gerome was helpful as my return was not processed within the advised time which shows poor running of the returns scheme but good customer service by him,IE,Rated 5 out of 5 stars
Jess Cayman,"October 12, 2022",Sadly had some troubles with getting my…,Sadly had some troubles with getting my orders recently. But to be fair since I started buying on asos it’s the first time anything like this happened. I got my money back.,GB,Rated 5 out of 5 stars
Marta,"January 04, 2023",Customer service quality is excellent!,Customer service quality is exceptional!I had a pleasure speaking to Beryl. Very professional and helpful!Highly recommended 👌,IE,Rated 5 out of 5 stars
Crystal Miller,"January 03, 2023",Excellent service and amazing products,Excellent service and amazing products. Efficient customer service and immediate attention to resolve customer queries. Would definitely recommend.,GB,Rated 5 out of 5 stars
Jonathan,"January 03, 2023",FrancisDominic was amazing,"FrancisDominic was amazing, I had a delivery arrive late after paying for the fastest delivery option. Francis got straight to work and was sorted within 5 minutes!",GB,Rated 5 out of 5 stars
Leigha Parkinson,"January 05, 2023",Dainajane Was really lovely and helpful…,Dainajane Was really lovely and helpful and friendly! Really appreciate keeping me updated as we went along!,GB,Rated 5 out of 5 stars
Su,"January 03, 2023",This is my first time i have contacted…,"This is my first time i have contacted customer service with Asos. Melvin was so helpful, i am very satisfied. Thank you!",MT,Rated 5 out of 5 stars
sindi pilku,"January 04, 2023",The company answered for everything i…,"The company answered for everything i asked thoroughly, was comunicative and tried to solve the problems.",AL,Rated 5 out of 5 stars
Yazz,"January 05, 2023",So so helpful,So so helpful! Totally would recommend to speak to an advisor. Always helps sort out any issue I have.,GB,Rated 5 out of 5 stars
Val H,"January 05, 2023",I had an issue with a missing parcel…,I had an issue with a missing parcel which needed to be returned and your colleague was extremely helpful and polite.,GB,Rated 5 out of 5 stars
