时间戳记,How often do you usually shop fashion products?,"Your monthly spending on online shopping (£), if you shop fashion products seasonally or yearly, please use an estimated number.","When you browse the shopping pages of fashion websites, do you do so with an obvious goal in mind? (e.g., knowing exactly what you want to buy) ",Factors you would consider when shopping fashion items online.,"To what extent would you choose to buy an unplanned fashion item because of the visual stimulation? (visual stimulation include web page design, Product Images and website UI etc.) ","Please rate your willingness in shopping fashion item on a complex but detailed web page, in this web page, textual descriptions are heavily weighted. ","If you lack willingness in shopping in this web page, can you specific why? ","Please rate your willingness in shopping fashion item on a simple but with less information web page, in this web page, graphical descriptions are heavily weighted. ","If you lack willingness in shopping in this web page, can you specific why? ","How much do you think the interactivity of the website (information to be logically presented, easy to use) plays a part in your online fashion shopping experience? ","How much do you think screen design on the website (i.e., colours, boxes, menus, navigation tools etc.) plays a part in your online fashion shopping experience? ",Please rate how much would you think an aesthetically pleasing web design and great web interaction design will make you trust/like the brand more? ,Please rate how much would you think that a good web design and interaction system is necessary for a successful online fashion shopping platform? ,To what extent do you think a personalized digital channel design would add to your purchase intention?,How much do you willing to buy an item suggested by fashion websites based on their analyzed data?,"If you do, where would you expect the personalized content (e.g., item suggestion) to show up?",Your age,Your Gender
2022-12-23 下午02:56:03,Every Season,0 - 100,3,"Prices and events, Product presentation (mainly pictures and videos), Product presentation (text-based), Site search function, Website page design",3,2,,3,,3,3,3,3,3,,,26 - 35,Female
2022-12-23 下午03:00:47,Every Season,Above 500,5,"Prices and events, Product presentation (mainly pictures and videos), Site search function, Website page design",2,3,,2,,4,5,5,4,5,,,26 - 35,Male
2022-12-23 下午03:01:33,Every Month,0 - 100,2,"Prices and events, Product presentation (mainly pictures and videos), After-sales service (return and exchange service, etc.), Website page design, Consumer reviews and scores",4,2,,5,,5,5,4,5,5,,,19 - 25,Female
2022-12-23 下午04:16:21,Only at sales,0 - 100,2,"Prices and events, Product presentation (mainly pictures and videos), Consumer reviews and scores",1,4,I am fine with it,3,I am fine with it,2,3,2,3,2,1,"When you filter or search, it will be shown in the filter called ""Recommended for you""",19 - 25,Male
2022-12-23 下午04:41:22,Every Year,0 - 30,3,"Website Functionality Guidelines, Prices and events, Variety of payment options, Website page design",2,4,I am fine with it,4,I am fine with it,5,5,5,5,4,3,Homepage,Under 18,Female
2022-12-23 下午05:12:49,Every Week,30 - 80,1,"Prices and events, Product presentation (mainly pictures and videos), Product presentation (text-based), Variety of payment options, Pre-sales service (contact the seller for product information, etc.), After-sales service (return and exchange service, etc.), Consumer reviews and scores, Logistics",3,2,"Don't want to read the text (too much info), No direct visual stimulation (e.g. images), Poor layout design",5,,5,5,5,5,5,5,"Under each category's main page, When you filter or search, it will be shown in the filter called ""Recommended for you"", At check out",19 - 25,Female
2022-12-23 下午05:17:59,Every Month,80 - 150,3,"Prices and events, Product presentation (mainly pictures and videos), After-sales service (return and exchange service, etc.), Website page design, Consumer reviews and scores",4,3,No direct visual stimulation (e.g. images),5,I am fine with it,4,4,5,5,3,3,"Product information page, Your shopping basket",19 - 25,Female
2022-12-23 下午05:36:59,Every Month,80 - 150,4,"Website Functionality Guidelines, Prices and events, Product presentation (mainly pictures and videos), Variety of payment options",4,2,Poor layout design,4,I am fine with it,4,4,5,4,4,4,My account page,19 - 25,Female
2022-12-23 下午06:17:27,Every Week,Above 300,4,"Website Functionality Guidelines, Prices and events, Product presentation (text-based), Variety of payment options, Site search function, After-sales service (return and exchange service, etc.), Website page design, Consumer reviews and scores, Logistics",2,3,Poor layout design,4,I am fine with it,3,3,4,4,5,5,"My account page, When you filter or search, it will be shown in the filter called ""Recommended for you""",Under 18,Male
2022-12-23 下午10:40:44,Every Month,30 - 80,4,"Website Functionality Guidelines, Prices and events, Product presentation (mainly pictures and videos), After-sales service (return and exchange service, etc.), Consumer reviews and scores",3,4,,4,,3,2,3,4,3,3,Homepage,19 - 25,Female
2022-12-23 下午11:16:56,Every Month,Above 300,4,"Product presentation (mainly pictures and videos), Product presentation (text-based)",3,3,Poor layout design,3,I am fine with it,3,3,3,3,3,3,Your shopping basket,26 - 35,Female
2022-12-23 下午11:30:53,Every Month,0 - 30,3,"Prices and events, Product presentation (mainly pictures and videos)",3,3,Don't want to read the text (too much info),2,Lack of enough info,4,4,3,3,5,4,"Product information page, My account page",19 - 25,Female
