Respondents,Datetime,Shopping_Frequency,Monthly_Spending,Goal,Factors,Unplanned_Item_Intention,Willingness_Amazon,Lack_Amazon,Willingness_Prada,Lack_Prada,interactivity_importantance,screendesign_importantance,trust/like,necessaties,personalized_design_intention,reconmandended_purchasing_intention,personalized_loc,age,Gender
1,2022/12/23,Every Season,0 - 30,3,Prices and events;Product presentation (mainly pictures and videos);Product presentation (text-based);Site search function;Website page design,3,2,I am fine with it,3,I am fine with it,3,3,3,3,3,3,"Under each category's main page;When you filter or search, it will be shown in the filter called ""Recommended for you"";At check out",26 - 35,Female
2,2022/12/23,Every Season,Above 300,5,Prices and events;Product presentation (mainly pictures and videos);Site search function;Website page design,2,3,Don't want to read the text (too much info);No direct visual stimulation (e.g. images);Poor layout design,2,I am fine with it,4,5,5,4,5,3,My account page,26 - 35,Male
3,2022/12/23,Every Month,0 - 30,2,"Prices and events;Product presentation (mainly pictures and videos);After-sales service (return and exchange service, etc.);Website page design;Consumer reviews and scores",4,2,Don't want to read the text (too much info);No direct visual stimulation (e.g. images);Poor layout design,5,I am fine with it,5,5,4,5,5,5,"My account page;When you filter or search, it will be shown in the filter called ""Recommended for you""",19 - 25,Female
4,2022/12/23,Only at sales,0 - 30,2,Prices and events;Product presentation (mainly pictures and videos);Consumer reviews and scores,1,4,I am fine with it,3,I am fine with it,2,3,2,3,2,1,"When you filter or search, it will be shown in the filter called ""Recommended for you""",19 - 25,Male
5,2022/12/23,Every Year,0 - 30,3,Website Functionality Guidelines;Prices and events;Variety of payment options;Website page design,2,4,I am fine with it,4,I am fine with it,5,5,5,5,4,3,Homepage,Under 18,Female
6,2022/12/23,Every Week,30 - 80,1,"Prices and events;Product presentation (mainly pictures and videos);Product presentation (text-based);Variety of payment options;Pre-sales service (contact the seller for product information, etc.);After-sales service (return and exchange service, etc.);Consumer reviews and scores;Logistics",3,2,Don't want to read the text (too much info);No direct visual stimulation (e.g. images);Poor layout design,5,I am fine with it,5,5,5,5,5,5,"Under each category's main page;When you filter or search, it will be shown in the filter called ""Recommended for you"";At check out",19 - 25,Female
7,2022/12/23,Every Month,80 - 150,3,"Prices and events;Product presentation (mainly pictures and videos);After-sales service (return and exchange service, etc.);Website page design;Consumer reviews and scores",4,3,No direct visual stimulation (e.g. images),5,I am fine with it,4,4,5,5,3,3,Product information page;Your shopping basket,19 - 25,Female
8,2022/12/23,Every Month,80 - 150,4,Website Functionality Guidelines;Prices and events;Product presentation (mainly pictures and videos);Variety of payment options,4,2,Poor layout design,4,I am fine with it,4,4,5,4,4,4,My account page,19 - 25,Female
9,2022/12/23,Every Week,Above 300,4,"Website Functionality Guidelines;Prices and events;Product presentation (text-based);Variety of payment options;Site search function;After-sales service (return and exchange service, etc.);Website page design;Consumer reviews and scores;Logistics",2,3,Poor layout design,4,I am fine with it,3,3,4,4,5,5,"My account page;When you filter or search, it will be shown in the filter called ""Recommended for you""",Under 18,Male
10,2022/12/23,Every Month,30 - 80,4,"Website Functionality Guidelines;Prices and events;Product presentation (mainly pictures and videos);After-sales service (return and exchange service, etc.);Consumer reviews and scores",3,4,No direct visual stimulation (e.g. images),4,I am fine with it,3,2,3,4,3,3,Homepage,19 - 25,Female
11,2022/12/23,Every Month,Above 300,4,Product presentation (mainly pictures and videos);Product presentation (text-based),3,3,Poor layout design,3,I am fine with it,3,3,3,3,3,3,Your shopping basket,26 - 35,Female
12,2022/12/23,Every Month,0 - 30,3,Prices and events;Product presentation (mainly pictures and videos),3,3,Don't want to read the text (too much info),2,Lack of enough info,4,4,3,3,5,4,Product information page;My account page,19 - 25,Female
13,2022/12/24,Every Year,0 - 30,4,"Prices and events;Product presentation (text-based);After-sales service (return and exchange service, etc.);Consumer reviews and scores",1,3,Don't want to read the text (too much info);No direct visual stimulation (e.g. images);Poor layout design,4,I am fine with it,4,4,5,5,2,3,"Homepage;When you filter or search, it will be shown in the filter called ""Recommended for you""",19 - 25,Female
14,2022/12/24,Every Month,150 - 300,5,"Prices and events;Product presentation (mainly pictures and videos);Site search function;After-sales service (return and exchange service, etc.);Consumer reviews and scores;Logistics",4,4,Don't want to read the text (too much info),4,I am fine with it,4,4,5,5,5,3,Homepage;Product information page,26 - 35,Male
15,2022/12/24,Every Month,80 - 150,5,"Prices and events;Product presentation (text-based);Site search function;Pre-sales service (contact the seller for product information, etc.);After-sales service (return and exchange service, etc.)",5,4,I am fine with it,5,I am fine with it,5,5,5,5,5,4,Homepage;Product information page,26 - 35,Male
16,2022/12/24,Every Month,30 - 80,2,Prices and events,3,3,Font design,3,Poor font design,3,3,3,3,4,3,Under each category's main page,19 - 25,Female
17,2022/12/24,Every Month,30 - 80,1,Prices and events;Variety of payment options;Site search function;Consumer reviews and scores,2,2,Don't want to read the text (too much info);Poor layout design,4,I am fine with it,3,5,4,4,2,2,My account page,19 - 25,Female
18,2022/12/24,Every Season,0 - 30,4,"Prices and events;Product presentation (mainly pictures and videos);Variety of payment options;Site search function;After-sales service (return and exchange service, etc.);Logistics",3,2,Don't want to read the text (too much info);No direct visual stimulation (e.g. images),4,I am fine with it,4,5,5,5,4,4,"Homepage;When you filter or search, it will be shown in the filter called ""Recommended for you""",19 - 25,Female
19,2022/12/24,Every Week,Above 300,4,"Prices and events;Product presentation (mainly pictures and videos);Site search function;Pre-sales service (contact the seller for product information, etc.);After-sales service (return and exchange service, etc.);Website page design",3,3,I am fine with it,3,I am fine with it,4,4,4,4,2,4,"Product information page;My account page;When you filter or search, it will be shown in the filter called ""Recommended for you""",26 - 35,Female
20,2022/12/24,Every Season,80 - 150,4,Prices and events;Site search function;Logistics,4,4,Don't want to read the text (too much info);No direct visual stimulation (e.g. images);Font design,3,Poor font design;Poor layout design,4,4,4,3,3,4,"Homepage;Product information page;When you filter or search, it will be shown in the filter called ""Recommended for you""",26 - 35,Male
21,2022/12/24,Every Season,80 - 150,4,Prices and events,4,4,Poor layout design,4,Lack of enough info,4,4,4,3,4,4,My account page,26 - 35,Female
22,2022/12/24,Every Month,30 - 80,5,Website Functionality Guidelines;Product presentation (mainly pictures and videos);Variety of payment options;Site search function,5,5,Font design;I am fine with it,5,I am fine with it,5,4,2,5,5,2,Product information page;My account page;Under each category's main page,19 - 25,Male
23,2022/12/24,Only at sales,30 - 80,4,Prices and events;Product presentation (mainly pictures and videos);Variety of payment options;Site search function;Website page design;Consumer reviews and scores,3,4,Don't want to read the text (too much info);I still buy on amazon because it's easy but I do think there is too much text,3,"I am fine with it;I would like there to be an option for more information, seems to be just a single photo",5,5,4,4,3,3,"Homepage;When you filter or search, it will be shown in the filter called ""Recommended for you""",26 - 35,Male
24,2022/12/24,Only at sales,150 - 300,4,Prices and events;Product presentation (mainly pictures and videos);Site search function,4,4,Don't want to read the text (too much info);I am fine with it,2,I am fine with it,4,4,5,4,4,4,"When you filter or search, it will be shown in the filter called ""Recommended for you"";Your shopping basket;Your saved Items list",19 - 25,Male
25,2022/12/25,Every Month,150 - 300,4,Website Functionality Guidelines;Prices and events;Product presentation (mainly pictures and videos);Consumer reviews and scores,4,1,No direct visual stimulation (e.g. images),4,I am fine with it,5,4,4,5,2,5,"Product information page;My account page;Under each category's main page;When you filter or search, it will be shown in the filter called ""Recommended for you""",19 - 25,Female
26,2022/12/25,Every Season,30 - 80,5,"Prices and events;Product presentation (mainly pictures and videos);Product presentation (text-based);Site search function;Pre-sales service (contact the seller for product information, etc.);After-sales service (return and exchange service, etc.);Website page design;Consumer reviews and scores;Logistics",2,4,No direct visual stimulation (e.g. images),4,I am fine with it,4,3,5,5,2,2,Homepage;Product information page,19 - 25,Male
